cntyname,State,PUMA10,PUMA00,Pop14
Fulton GA,GA,1003,1105,66080.279
Fulton GA,GA,1003,1106,2048.741
Fulton GA,GA,1003,1107,49108.09
Fulton GA,GA,1004,1107,123796.76
Fulton GA,GA,1005,1101,75740.638
Fulton GA,GA,1005,1102,84775.445
Fulton GA,GA,1006,1103,114694.853
Fulton GA,GA,1006,1104,4315.018
Fulton GA,GA,1007,1104,95604.658
Fulton GA,GA,1007,1105,9808.631
Fulton GA,GA,4600,1103,5082.349
Fulton GA,GA,4600,1104,22758.015
Fulton GA,GA,4600,1105,13426.666
Fulton GA,GA,4600,1106,88027.672
Fulton GA,GA,4600,1107,6007.692
Gilmer GA,GA,2800,300,28829
Glascock GA,GA,4200,2500,3053
Glynn GA,GA,100,3700,82175
Gordon GA,GA,2800,200,56047
Grady GA,GA,1100,4200,25359
Greene GA,GA,3700,2200,16490
Gwinnett GA,GA,4001,1505,148237.728
Gwinnett GA,GA,4002,1502,117999.102
Gwinnett GA,GA,4003,1501,64669.975
Gwinnett GA,GA,4003,1502,65034.086
Gwinnett GA,GA,4003,1503,27795.596
Gwinnett GA,GA,4004,1501,18748.428
Gwinnett GA,GA,4004,1502,84981.68
Gwinnett GA,GA,4004,1503,9549.728
Gwinnett GA,GA,4005,1503,108388.326
Gwinnett GA,GA,4005,1504,20737.954
Gwinnett GA,GA,4006,1501,72174.579
Gwinnett GA,GA,4006,1503,16318.48
Gwinnett GA,GA,4006,1504,123286.338
Habersham GA,GA,3500,300,43752
Hall GA,GA,3400,300,40.343
Hall GA,GA,3400,600,190720.657
Hancock GA,GA,4200,2200,8509
Haralson GA,GA,2500,2100,28641
Harris GA,GA,1800,2900,32876
Hart GA,GA,3500,400,25377
Heard GA,GA,2200,2900,11603
Henry GA,GA,6001,1000,254.853
Henry GA,GA,6001,1700,105095.991
Henry GA,GA,6002,1700,108518.155
Houston GA,GA,1500,2800,149111
Irwin GA,GA,700,3900,9104
Jackson GA,GA,3800,400,61870
Jasper GA,GA,3900,2600,13432
Jeff Davis GA,GA,1200,3300,14859
Jefferson GA,GA,4200,2500,16272
Jenkins GA,GA,4200,2500,9125
Johnson GA,GA,1300,2600,9701
Jones GA,GA,1600,2800,28787
Lamar GA,GA,1900,1000,18207
Lanier GA,GA,500,3900,10373
Laurens GA,GA,1300,2600,47851
Lee GA,GA,900,4000,29191
Liberty GA,GA,200,3600,65198
Lincoln GA,GA,4200,2200,7622
Long GA,GA,200,3600,17113
Lowndes GA,GA,600,4300,113523
Lumpkin GA,GA,3200,300,31149.991
Lumpkin GA,GA,3200,800,26.009
Macon GA,GA,1800,3100,13792
Madison GA,GA,3700,500,28312
Marion GA,GA,1800,3100,8797
McDuffie GA,GA,4200,2400,21370
McIntosh GA,GA,100,3600,14214
Meriwether GA,GA,2200,2900,21198
Miller GA,GA,1100,4200,5958
Mitchell GA,GA,1100,4100,22771
Monroe GA,GA,1600,1000,27051
Montgomery GA,GA,1200,3200,8991
Morgan GA,GA,3900,2200,17956
Murray GA,GA,2800,200,39410
Muscogee GA,GA,1700,3000,200887
Newton GA,GA,4300,1600,103664.628
Newton GA,GA,4300,2600,10.372
Oconee GA,GA,3700,500,35093
Oglethorpe GA,GA,3700,500,21.666
Oglethorpe GA,GA,3700,2200,14651.334
Paulding GA,GA,4500,700,148926.285
Paulding GA,GA,4500,1305,54.434
Paulding GA,GA,4500,1800,6.281
Peach GA,GA,1600,2800,26922
Pickens GA,GA,2800,800,29997
Pierce GA,GA,500,3800,18991
Pike GA,GA,1900,1000,17784
Polk GA,GA,2500,2100,41133
Pulaski GA,GA,1500,3200,11483
Putnam GA,GA,1600,2600,21192
Quitman GA,GA,1800,4100,2315
Rabun GA,GA,3200,300,16243
Randolph GA,GA,1800,4100,7313
Richmond GA,GA,4000,2300,201368
Rockdale GA,GA,4300,1600,87754
Schley GA,GA,1800,3100,5163
Screven GA,GA,300,2500,14085
Seminole GA,GA,1100,4200,8686
Spalding GA,GA,1900,2000,63988
Stephens GA,GA,3500,400,25480
Stewart GA,GA,1800,4100,5744
Sumter GA,GA,1800,3100,31232
Talbot GA,GA,1800,2900,6390
Taliaferro GA,GA,4200,2200,1693
Tattnall GA,GA,1200,3300,25224
Taylor GA,GA,1800,3100,8442
Telfair GA,GA,1200,3200,16518
Terrell GA,GA,1100,4100,9132
Thomas GA,GA,800,4200,44959
Tift GA,GA,700,3900,40704
Toombs GA,GA,1200,3200,27282
Towns GA,GA,3200,300,11098
Treutlen GA,GA,1300,3200,6778
Troup GA,GA,2200,2900,69469
Turner GA,GA,700,3900,8153
Twiggs GA,GA,1600,2800,8320
Union GA,GA,3200,300,21984
Upson GA,GA,1900,1000,26256
Walker GA,GA,2600,100,68218
Walton GA,GA,3900,900,87615
Ware GA,GA,500,3800,35515
Warren GA,GA,4200,2200,5520
Washington GA,GA,4200,2500,20635
Wayne GA,GA,1200,3300,29949
Webster GA,GA,1800,3100,2649
Wheeler GA,GA,1200,3200,7995
White GA,GA,3200,300,27970
Whitfield GA,GA,2700,100,184.682
Whitfield GA,GA,2700,200,103357.318
Wilcox GA,GA,1300,3200,8847
Wilkes GA,GA,4200,2200,9940
Wilkinson GA,GA,1600,2600,9326
Worth GA,GA,800,4100,20940
Hawaii HI,HI,200,200,194190
Honolulu HI,HI,301,301,105061.957
Honolulu HI,HI,302,302,119825.256
Honolulu HI,HI,303,303,111950.942
Honolulu HI,HI,304,304,126281.403
Honolulu HI,HI,305,304,3.121
Honolulu HI,HI,305,305,119166.636
Honolulu HI,HI,306,306,147261.54
Honolulu HI,HI,306,307,85.319
Honolulu HI,HI,307,301,24151.504
Honolulu HI,HI,307,307,127073.205
Honolulu HI,HI,308,307,110927.115
Kalawao HI,HI,100,100,89
Kauai HI,HI,100,100,70475
Maui HI,HI,100,100,163019
Adair IA,IA,1800,1300,7454
Adams IA,IA,1800,1300,3875
Allamakee IA,IA,400,300,14038
Appanoose IA,IA,1800,1300,12661
Audubon IA,IA,1800,1000,5794
Benton IA,IA,1200,600,25680
Black Hawk IA,IA,500,400,132897
Boone IA,IA,1300,1600,26433
Bremer IA,IA,400,300,24721
Buchanan IA,IA,700,300,21038
Buena Vista IA,IA,1900,100,20578
Butler IA,IA,600,300,15006
Calhoun IA,IA,1900,900,9866
Carroll IA,IA,1900,1000,20562
Cass IA,IA,2100,1200,13448
Cedar IA,IA,800,500,18411
Cerro Gordo IA,IA,200,200,43254
Cherokee IA,IA,1900,1000,11836
Chickasaw IA,IA,400,300,12264
Clarke IA,IA,1800,1300,9217
Clay IA,IA,100,100,16515
Clayton IA,IA,400,300,17692
Clinton IA,IA,800,500,48051
Crawford IA,IA,1900,1000,17228
Dallas IA,IA,1400,1600,24305.484
Dallas IA,IA,1500,1600,53094.516
Davis IA,IA,2200,1300,8781
Decatur IA,IA,1800,1300,8263
Delaware IA,IA,700,500,17398
Des Moines IA,IA,2300,1800,40255
Dickinson IA,IA,100,100,16935
Dubuque IA,IA,700,500,96370
Emmet IA,IA,100,100,9990
Fayette IA,IA,400,300,20343
Floyd IA,IA,200,200,16077
Franklin IA,IA,600,200,10436
Fremont IA,IA,2100,1200,7022
Greene IA,IA,1900,1000,9200
Grundy IA,IA,600,300,12375
Guthrie IA,IA,1800,1000,10722
Hamilton IA,IA,600,900,15117
Hancock IA,IA,200,200,11027
Hardin IA,IA,600,600,17311
Harrison IA,IA,2100,1200,14324
Henry IA,IA,2300,1800,20217
Howard IA,IA,400,300,9449
Humboldt IA,IA,600,900,9640
Ida IA,IA,1900,1000,7042
Iowa IA,IA,1200,600,16375
Jackson IA,IA,700,500,19482
Jasper IA,IA,1400,1700,36872
Jefferson IA,IA,2200,1300,17325
Johnson IA,IA,1100,700,142287
Jones IA,IA,800,600,20454
Keokuk IA,IA,2200,1300,10231
Kossuth IA,IA,200,200,15222
Lee IA,IA,2300,1800,35286
Linn IA,IA,1000,800,217751
Louisa IA,IA,2300,1800,11161
Lucas IA,IA,1800,1300,8701
Lyon IA,IA,100,100,11683
Madison IA,IA,1400,1700,15609
Mahaska IA,IA,2200,1300,22370
Marion IA,IA,1400,1700,33365
Marshall IA,IA,1200,600,40866
Mills IA,IA,2100,1200,14831
Mitchell IA,IA,200,200,10779
Monona IA,IA,1900,1000,8996
Monroe IA,IA,1800,1300,8001
Montgomery IA,IA,2100,1200,10421
Muscatine IA,IA,800,1800,42903
OBrien IA,IA,100,100,14056
Osceola IA,IA,100,100,6218
Page IA,IA,2100,1200,15496
Palo Alto IA,IA,100,100,9099
Plymouth IA,IA,2000,1000,24874
Pocahontas IA,IA,1900,900,7138
Polk IA,IA,1500,1400,100.379
Polk IA,IA,1500,1500,128358.564
Polk IA,IA,1600,1400,11326.761
Polk IA,IA,1600,1500,113754.55
Polk IA,IA,1700,1400,205042.454
Polk IA,IA,1700,1500,1279.293
Pottawattamie IA,IA,2100,1200,93128
Poweshiek IA,IA,1200,600,18668
Ringgold IA,IA,1800,1300,5051
Sac IA,IA,1900,1000,10035
Scott IA,IA,900,1900,171387
Shelby IA,IA,2100,1200,11948
Sioux IA,IA,100,100,34681
Story IA,IA,1300,1600,94073
Tama IA,IA,1200,600,17451
Taylor IA,IA,1800,1300,6143
Union IA,IA,1800,1300,12516
Van Buren IA,IA,2200,1300,7468
Wapello IA,IA,2200,1300,35212
Warren IA,IA,1400,1700,47956
Washington IA,IA,2200,600,22070
Wayne IA,IA,1800,1300,6395
Webster IA,IA,600,900,36955
Winnebago IA,IA,200,200,10559
Winneshiek IA,IA,400,300,20768
Woodbury IA,IA,2000,1100,102271
Worth IA,IA,200,200,7624
Wright IA,IA,600,900,12840
Ada ID,ID,400,600,1526.287
Ada ID,ID,400,700,35302.311
Ada ID,ID,600,600,443.221
Ada ID,ID,600,700,48934.606
Ada ID,ID,701,600,33882.484
Ada ID,ID,701,700,80569.484
Ada ID,ID,702,600,93430.488
Ada ID,ID,702,700,15923.355
Ada ID,ID,800,600,80682.461
Ada ID,ID,800,700,35541.303
Adams ID,ID,300,400,3861
Bannock ID,ID,1300,900,83347
Bear Lake ID,ID,1300,900,5957
Benewah ID,ID,100,100,9118
Bingham ID,ID,1100,900,42459.974
Bingham ID,ID,1300,900,2809.026
Blaine ID,ID,1000,800,21482
Boise ID,ID,300,400,6824
Bonner ID,ID,100,100,41585
Bonneville ID,ID,1200,300,108623
Boundary ID,ID,100,100,10979
Butte ID,ID,300,300,2622
Camas ID,ID,1000,800,1039
Canyon ID,ID,400,500,24148.386
Canyon ID,ID,500,500,106892.467
Canyon ID,ID,600,500,72102.147
Caribou ID,ID,1300,900,6837
Cassia ID,ID,900,800,23540
Clark ID,ID,300,300,867
Clearwater ID,ID,300,200,8562
Custer ID,ID,300,300,4140
Elmore ID,ID,1000,400,26094
Franklin ID,ID,1300,900,13021
Fremont ID,ID,1100,300,12867
Gem ID,ID,400,400,16866
Gooding ID,ID,1000,800,15064
Idaho ID,ID,300,200,16215
Jefferson ID,ID,1100,300,27021
Jerome ID,ID,1000,800,22818
Kootenai ID,ID,100,100,5153.974
Kootenai ID,ID,200,100,142172.026
Latah ID,ID,100,200,38411
Lemhi ID,ID,300,300,7726
Lewis ID,ID,300,200,3838
Lincoln ID,ID,1000,800,5316
Madison ID,ID,1100,300,38038
Minidoka ID,ID,1000,800,20323
Nez Perce ID,ID,300,200,40007
Oneida ID,ID,1300,900,4184
Owyhee ID,ID,500,400,11353
Payette ID,ID,400,400,22836
Power ID,ID,1300,900,7617
Shoshone ID,ID,100,100,12390
Teton ID,ID,1100,300,10341
Twin Falls ID,ID,900,800,80914
Valley ID,ID,300,400,9826
Washington ID,ID,400,400,10021
Adams IL,IL,300,300,66988
Alexander IL,IL,800,800,7492
Bond IL,IL,501,500,17269
Boone IL,IL,2901,2900,53869
Brown IL,IL,300,300,6832
Bureau IL,IL,2501,2500,33840
Calhoun IL,IL,401,400,4956
Carroll IL,IL,104,101,14715
Cass IL,IL,401,400,13156
Champaign IL,IL,2100,2100,207133
Christian IL,IL,1602,1600,33892
Clark IL,IL,700,700,16180
Clay IL,IL,700,700,13520
Clinton IL,IL,501,1102,37857
Coles IL,IL,600,600,53320
Cook IL,IL,3401,3401,127907.409
Cook IL,IL,3407,3407,180249.005
Cook IL,IL,3408,3408,194344.12
Cook IL,IL,3409,3409,153979.735
Cook IL,IL,3410,3410,175335.511
Cook IL,IL,3411,3411,175163.816
Cook IL,IL,3412,3412,110893.487
Cook IL,IL,3413,3413,171013.857
Cook IL,IL,3414,3414,169320.141
Cook IL,IL,3415,3403,127748.844
Cook IL,IL,3416,3404,85950.305
Cook IL,IL,3416,3405,55976.472
Cook IL,IL,3417,3402,122201.089
Cook IL,IL,3418,3402,110925.806
Cook IL,IL,3419,3403,123248.426
Cook IL,IL,3420,3404,138744.367
Cook IL,IL,3420,3406,5099.329
Cook IL,IL,3420,3505,43929.572
Cook IL,IL,3421,3405,182165.925
Cook IL,IL,3422,3406,113633.53
Cook IL,IL,3422,3505,17756.249
Cook IL,IL,3501,3501,169547.384
Cook IL,IL,3502,3502,160063.783
Cook IL,IL,3503,3503,144730.448
Cook IL,IL,3504,3405,43.429
Cook IL,IL,3504,3504,142705.462
Cook IL,IL,3520,3406,5.05
Cook IL,IL,3520,3505,68051.65
Cook IL,IL,3520,3506,64758.144
Cook IL,IL,3521,3506,93087.749
Cook IL,IL,3521,3507,99495.997
Cook IL,IL,3522,3509,139241.271
Cook IL,IL,3523,3508,132106.856
Cook IL,IL,3523,3511,80078.35
Cook IL,IL,3524,3509,82243.722
Cook IL,IL,3524,3510,55428.059
Cook IL,IL,3524,3511,36125.549
Cook IL,IL,3525,3510,132464.385
Cook IL,IL,3526,3512,165753.943
Cook IL,IL,3527,3513,150495.345
Cook IL,IL,3528,3513,56182.505
Cook IL,IL,3528,3515,32926.98
Cook IL,IL,3528,3516,66818.479
Cook IL,IL,3529,3514,105238.675
Cook IL,IL,3529,3515,76505.083
Cook IL,IL,3530,3516,26757.085
Cook IL,IL,3530,3517,103762.102
Cook IL,IL,3531,3515,41623.815
Cook IL,IL,3531,3516,49228.875
Cook IL,IL,3531,3518,45063.766
Cook IL,IL,3531,3519,2945.067
Cook IL,IL,3532,3518,43880.084
Cook IL,IL,3532,3519,93509.916
Crawford IL,IL,700,700,19393
Cumberland IL,IL,600,600,10833
De Witt IL,IL,1602,1600,16284
DeKalb IL,IL,2601,2600,105462
Douglas IL,IL,600,600,19889
DuPage IL,IL,3202,3202,119076.097
DuPage IL,IL,3203,3203,118269.446
DuPage IL,IL,3204,3204,149321.94
DuPage IL,IL,3205,3205,125574.061
DuPage IL,IL,3207,3206,118453.562
DuPage IL,IL,3208,3201,95211.238
DuPage IL,IL,3208,3202,6.103
DuPage IL,IL,3208,3206,85509.05
DuPage IL,IL,3209,3201,121286.503
Edgar IL,IL,600,600,17841
Edwards IL,IL,800,800,6617
Effingham IL,IL,501,500,34320
Fayette IL,IL,501,500,21870
Ford IL,IL,2200,2200,13688
Franklin IL,IL,900,900,39411
Fulton IL,IL,202,200,36007
Gallatin IL,IL,800,800,5291
Greene IL,IL,401,400,13434
Grundy IL,IL,3700,3101,50425
Hamilton IL,IL,800,800,8296
Hancock IL,IL,202,200,18564
Hardin IL,IL,800,800,4129
Henderson IL,IL,202,200,6916
Henry IL,IL,202,102,49635
Iroquois IL,IL,2200,2200,28879
Jackson IL,IL,900,900,59677
Jasper IL,IL,700,700,9623
Jefferson IL,IL,1001,1000,38534
Jersey IL,IL,401,1202,22571
Jo Daviess IL,IL,104,101,22254
Johnson IL,IL,800,800,12601
Kane IL,IL,3005,3005,149563.13
Kane IL,IL,3007,3003,15218.396
Kane IL,IL,3007,3004,104225.185
Kane IL,IL,3008,3003,141778.426
Kane IL,IL,3009,3003,11948.759
Kane IL,IL,3009,3004,28303.084
Kane IL,IL,3009,3006,76269.02
Kankakee IL,IL,2300,2300,111375
Kendall IL,IL,3700,3006,121350
Knox IL,IL,2501,2500,52069
La Salle IL,IL,2400,2400,111241
Lake IL,IL,3306,3303,159943.02
Lake IL,IL,3307,3302,134571.994
Lake IL,IL,3307,3303,6801.628
Lake IL,IL,3308,3304,71066.74
Lake IL,IL,3308,3305,42758.534
Lake IL,IL,3309,3301,39157.731
Lake IL,IL,3309,3303,65011.938
Lake IL,IL,3309,3304,51760.541
Lake IL,IL,3310,3301,65365.803
Lake IL,IL,3310,3304,1488.639
Lake IL,IL,3310,3305,67259.432
Lawrence IL,IL,700,700,16519
Lee IL,IL,104,2600,34735
Livingston IL,IL,2200,2200,37903
Logan IL,IL,1602,1400,29746
Macon IL,IL,1500,1500,108350
Macoupin IL,IL,401,400,46453
Madison IL,IL,1204,1202,120145.128
Madison IL,IL,1205,1201,113466.329
Madison IL,IL,1205,1202,32948.543
Marion IL,IL,1001,1000,38571
Marshall IL,IL,2501,2500,12014
Mason IL,IL,300,300,13898
Massac IL,IL,800,800,14905
McDonough IL,IL,202,200,31880
McHenry IL,IL,3601,3001,34762.907
McHenry IL,IL,3601,3002,52859.921
McHenry IL,IL,3601,3006,46206.9
McHenry IL,IL,3602,3001,85487.094
McHenry IL,IL,3602,3002,87966.178
McLean IL,IL,2000,2000,174061
Menard IL,IL,1602,1400,12570
Mercer IL,IL,202,102,15945
Monroe IL,IL,1001,1102,33722
Montgomery IL,IL,501,500,29359
Morgan IL,IL,401,400,34929
Moultrie IL,IL,1602,1600,14837
Ogle IL,IL,2700,2700,52085
Peoria IL,IL,1701,1700,113044.878
Peoria IL,IL,1701,1800,74274.122
Perry IL,IL,900,900,21672
Piatt IL,IL,1602,1600,16431
Pike IL,IL,300,300,16022
Pope IL,IL,800,800,4276
Pulaski IL,IL,800,800,5815
Putnam IL,IL,2501,2500,5814
Randolph IL,IL,1001,1000,32869
Richland IL,IL,700,700,16061
Rock Island IL,IL,105,101,7055.366
Rock Island IL,IL,105,102,33262.283
Rock Island IL,IL,105,103,105745.351
Saline IL,IL,800,800,24612
Sangamon IL,IL,1300,1300,113898.863
Sangamon IL,IL,1300,1400,85098.137
Schuyler IL,IL,300,300,7330
Scott IL,IL,401,400,5204
Shelby IL,IL,1602,1600,22048
St. Clair IL,IL,1104,1101,87182.365
St. Clair IL,IL,1104,1102,61328.359
St. Clair IL,IL,1105,1101,92427.949
St. Clair IL,IL,1105,1102,24790.327
Stark IL,IL,2501,2500,5813
Stephenson IL,IL,2700,2700,46435
Tazewell IL,IL,1900,1900,135707
Union IL,IL,800,800,17447
Vermilion IL,IL,2200,2200,79728
Wabash IL,IL,800,800,11549
Warren IL,IL,202,200,17874
Washington IL,IL,1001,1000,14337
Wayne IL,IL,700,700,16543
White IL,IL,800,800,14374
Whiteside IL,IL,104,101,56876
Will IL,IL,3102,3102,134936.175
Will IL,IL,3105,3103,60706.054
Will IL,IL,3105,3104,81249.606
Will IL,IL,3106,3104,171228.3
Will IL,IL,3107,3103,124619.889
Will IL,IL,3108,3101,99332.95
Will IL,IL,3108,3103,13346.025
Williamson IL,IL,900,900,67008
Winnebago IL,IL,2801,2800,145434.878
Winnebago IL,IL,2801,2900,54094.418
Winnebago IL,IL,2901,2800,445.616
Winnebago IL,IL,2901,2900,88567.089
Woodford IL,IL,2501,1800,39187
Adams IN,IN,900,1100,34777.847
Adams IN,IN,900,1600,13.153
Allen IN,IN,1001,900,106402.082
Allen IN,IN,1001,1000,26129.129
Allen IN,IN,1002,900,91667.696
Allen IN,IN,1002,1000,32476.82
Allen IN,IN,1003,900,4440.5
Allen IN,IN,1003,1000,104801.772
Bartholomew IN,IN,2900,3000,80217
Benton IN,IN,1100,1400,8700
Blackford IN,IN,1500,1600,12401
Boone IN,IN,1801,1901,61915
Brown IN,IN,2100,3000,14962
Carroll IN,IN,1100,1400,19923
Cass IN,IN,1300,1500,38438
Clark IN,IN,3600,3300,114262
Clay IN,IN,1600,2700,26562
Clinton IN,IN,1100,1800,32776
Crawford IN,IN,3400,3500,10655
Daviess IN,IN,2700,2800,32729
De Kalb IN,IN,600,800,42383
Dearborn IN,IN,3100,3200,49506
Decatur IN,IN,3000,3100,26524
Delaware IN,IN,2000,2100,117074
Dubois IN,IN,3400,3600,42345
Elkhart IN,IN,500,700,201971
Fayette IN,IN,2600,3100,23468
Floyd IN,IN,3500,3400,76179
Fountain IN,IN,1600,1400,16658
Franklin IN,IN,3100,3100,22934
Fulton IN,IN,700,1300,20500
Gibson IN,IN,3200,3600,33759
Grant IN,IN,1400,1600,68569
Greene IN,IN,2700,2600,32726
Hamilton IN,IN,1801,1901,56814.9
Hamilton IN,IN,1802,1902,125548.718
Hamilton IN,IN,1803,1901,63372.84
Hamilton IN,IN,1803,1902,56886.542
Hancock IN,IN,2500,2002,71978
Harrison IN,IN,3500,3400,39299
Hendricks IN,IN,2200,2500,156056
Henry IN,IN,1500,2200,48995
Howard IN,IN,1300,1700,82982
Huntington IN,IN,900,1100,36706
Jackson IN,IN,2900,3000,43705
Jasper IN,IN,700,1300,33475
Jay IN,IN,1500,1600,21179
Jefferson IN,IN,3000,3200,32494
Jennings IN,IN,3000,3100,28000
Johnson IN,IN,2400,2400,147538
Knox IN,IN,3400,2800,37938
Kosciusko IN,IN,800,1200,78564
La Porte IN,IN,300,400,111444
Lagrange IN,IN,600,800,38436
Lake IN,IN,101,201,114179.473
Lake IN,IN,102,100,79358.811
Lake IN,IN,102,202,49637.061
Lake IN,IN,103,202,118430.379
Lake IN,IN,104,203,128622.275
Lawrence IN,IN,2700,3500,45704
Madison IN,IN,1900,2001,122621.721
Madison IN,IN,1900,2002,7447.279
Marion IN,IN,2301,2303,106917.566
Marion IN,IN,2302,2302,104179.14
Marion IN,IN,2302,2303,6016.679
Marion IN,IN,2303,2301,122491.851
Marion IN,IN,2304,2304,141500.544
Marion IN,IN,2304,2307,4207.952
Marion IN,IN,2305,2305,147663.038
Marion IN,IN,2306,2306,159286.874
Marion IN,IN,2307,2307,141979.355
Marshall IN,IN,800,1200,47107
Martin IN,IN,2700,2800,10203
Miami IN,IN,1400,1500,35954
Monroe IN,IN,2800,2900,143337.961
Monroe IN,IN,2800,3500,1.039
Montgomery IN,IN,1100,1400,38146
Morgan IN,IN,2100,2500,69693
Newton IN,IN,700,1300,14156
Noble IN,IN,600,800,47618
Ohio IN,IN,3100,3200,6035
Orange IN,IN,2700,3500,19626
Owen IN,IN,2700,2600,20969
Parke IN,IN,1600,2600,17233
Perry IN,IN,3400,3600,19454
Pike IN,IN,3400,3600,12624
Porter IN,IN,200,300,167076
Posey IN,IN,3200,3800,25540
Pulaski IN,IN,700,1300,12967
Putnam IN,IN,2100,2600,37618
Randolph IN,IN,1500,2200,25384
Ripley IN,IN,3100,3200,28497
Rush IN,IN,2600,3100,16892
Scott IN,IN,3000,3300,23712
Shelby IN,IN,2500,2002,44579
Spencer IN,IN,3400,3600,20801
St. Joseph IN,IN,401,500,93721.592
St. Joseph IN,IN,401,600,20579.83
St. Joseph IN,IN,402,500,5479.065
St. Joseph IN,IN,402,600,147837.512
Starke IN,IN,700,1300,23074
Steuben IN,IN,600,800,34308
Sullivan IN,IN,1600,2800,21050
Switzerland IN,IN,3100,3200,10452
Tippecanoe IN,IN,1200,1800,183074
Tipton IN,IN,1300,1700,15415
Union IN,IN,2600,3100,7246
Vanderburgh IN,IN,3300,3700,117678.031
Vanderburgh IN,IN,3300,3800,64327.969
Vermillion IN,IN,1600,2700,15693
Vigo IN,IN,1700,2700,108175
Wabash IN,IN,1400,1500,32252
Warren IN,IN,1600,1400,8352
Warrick IN,IN,3200,3800,61149
Washington IN,IN,3500,3500,27878
Wayne IN,IN,2600,2200,67671
Wells IN,IN,900,1100,27862
White IN,IN,1100,1400,24453
Whitley IN,IN,900,1100,33403
Allen KS,KS,1400,1500,12909
Anderson KS,KS,1400,1500,7883
Atchison KS,KS,400,400,16513
Barber KS,KS,1100,1100,4897
Barton KS,KS,1100,1100,27385
Bourbon KS,KS,1400,1500,14772
Brown KS,KS,802,400,9815
Butler KS,KS,1302,1300,54529.711
Butler KS,KS,1304,1300,11697.289
Chase KS,KS,900,900,2692
Chautauqua KS,KS,900,1500,3481
Cherokee KS,KS,1500,1600,20787
Cheyenne KS,KS,100,100,2693
Clark KS,KS,1200,1200,2144
Clay KS,KS,200,300,8317
Cloud KS,KS,200,200,9385
Coffey KS,KS,900,900,8433
Comanche KS,KS,1100,1100,1954
Cowley KS,KS,900,1500,20512.508
Cowley KS,KS,1100,1500,15450.492
Crawford KS,KS,1500,1600,39290
Decatur KS,KS,100,100,2908
Dickinson KS,KS,200,300,19394
Doniphan KS,KS,400,400,7874
Douglas KS,KS,700,700,116585
Edwards KS,KS,1100,1100,3030
Elk KS,KS,900,1500,2694
Ellis KS,KS,100,100,29013
Ellsworth KS,KS,200,200,6392
Finney KS,KS,1200,1200,37184
Ford KS,KS,1200,1200,34795
Franklin KS,KS,1400,900,25611
Geary KS,KS,300,300,36713
Gove KS,KS,100,100,2727
Graham KS,KS,100,100,2566
Grant KS,KS,1200,1200,7816
Gray KS,KS,1200,1200,6082
Greeley KS,KS,100,1200,1301
Greenwood KS,KS,900,900,6328
Hamilton KS,KS,1200,1200,2603
Harper KS,KS,1100,1100,5818
Harvey KS,KS,1301,1300,34820
Haskell KS,KS,1200,1200,4106
Hodgeman KS,KS,1200,1200,1916
Jackson KS,KS,802,400,13539
Jefferson KS,KS,400,400,18855
Jewell KS,KS,200,200,3043
Johnson KS,KS,601,601,116716.16
Johnson KS,KS,601,603,2.111
Johnson KS,KS,602,601,48727.414
Johnson KS,KS,602,602,107353.54
Johnson KS,KS,603,603,158124.014
Johnson KS,KS,604,604,143348.761
Kearny KS,KS,1200,1200,3915
Kingman KS,KS,1100,1100,7698
Kiowa KS,KS,1100,1100,2513
Labette KS,KS,1500,1600,20960
Lane KS,KS,100,1200,1687
Leavenworth KS,KS,400,400,78797
Lincoln KS,KS,200,200,3167
Linn KS,KS,1400,1500,9502
Logan KS,KS,100,100,2794
Lyon KS,KS,900,900,33212
Marion KS,KS,900,900,12208
Marshall KS,KS,200,300,10006
McPherson KS,KS,1000,1000,29241
Meade KS,KS,1200,1200,4357
Miami KS,KS,1400,700,32822
Mitchell KS,KS,200,200,6284
Montgomery KS,KS,1500,1600,34065
Morris KS,KS,900,300,5698
Morton KS,KS,1200,1200,3110
Nemaha KS,KS,200,400,10148
Neosho KS,KS,1500,1600,16416
Ness KS,KS,100,1200,3105
Norton KS,KS,100,100,5560
Osage KS,KS,802,900,15936
Osborne KS,KS,100,100,3756
Ottawa KS,KS,200,200,6065
Pawnee KS,KS,1100,1100,6916
Phillips KS,KS,100,100,5533
Pottawatomie KS,KS,300,300,22897
Pratt KS,KS,1100,1100,9850
Rawlins KS,KS,100,100,2584
Reno KS,KS,1000,1000,63794
Republic KS,KS,200,200,4803
Rice KS,KS,1000,1000,10015
Riley KS,KS,300,300,75194
Rooks KS,KS,100,100,5155
Rush KS,KS,1100,1100,3197
Russell KS,KS,100,100,6956
Saline KS,KS,200,200,55755
Scott KS,KS,100,1200,5080
Sedgwick KS,KS,1301,1300,36891.829
Sedgwick KS,KS,1301,1402,71547.79
Sedgwick KS,KS,1301,1403,16964.014
Sedgwick KS,KS,1302,1300,28574.194
Sedgwick KS,KS,1302,1401,76659.659
Sedgwick KS,KS,1303,1401,18211.608
Sedgwick KS,KS,1303,1402,45164.542
Sedgwick KS,KS,1303,1403,62080.572
Sedgwick KS,KS,1304,1300,79646.942
Sedgwick KS,KS,1304,1401,22780.334
Sedgwick KS,KS,1304,1403,50281.516
Seward KS,KS,1200,1200,23465
Shawnee KS,KS,801,800,104556.62
Shawnee KS,KS,802,800,73849.38
Sheridan KS,KS,100,100,2539
Sherman KS,KS,100,100,6110
Smith KS,KS,100,100,3769
