cntyname,State,PUMA,Pop10,Pop14
Lake FL,FL,1801,170829,181547.362
Lake FL,FL,1802,126223,134142.638
Volusia FL,FL,1901,242298,248636.245
Volusia FL,FL,1902,118838,121946.669
Volusia FL,FL,1903,133457,136948.086
Seminole FL,FL,2001,168149,176024.259
Seminole FL,FL,2002,143139,149842.916
Seminole FL,FL,2003,111419,116637.31
Brevard FL,FL,2101,183425,187985.173
Brevard FL,FL,2102,115850,118730.174
Brevard FL,FL,2103,116714,119615.655
Brevard FL,FL,2104,127387,130553.999
Orange FL,FL,2201,126654,138484.888
Orange FL,FL,2202,263807,288449.5
Orange FL,FL,2203,168365,184092.158
Orange FL,FL,2204,145402,158984.159
Orange FL,FL,2205,107435,117470.621
Seminole FL,FL,2205,11,11.515
Orange FL,FL,2206,148850,162754.241
Orange FL,FL,2207,185443,202765.433
Osceola FL,FL,2300,268685,310211
Polk FL,FL,2401,173680,183067.336
Polk FL,FL,2402,158399,166960.404
Polk FL,FL,2403,137001,144405.851
Polk FL,FL,2404,133015,140204.409
Pasco FL,FL,2501,193189,201767.196
Pasco FL,FL,2502,157960,164973.918
Pasco FL,FL,2503,113548,118589.886
Pinellas FL,FL,2601,122992,125884.629
Pinellas FL,FL,2602,101546,103934.244
Pinellas FL,FL,2603,112453,115097.764
Pinellas FL,FL,2604,111508,114130.538
Pinellas FL,FL,2605,113999,116680.124
Pinellas FL,FL,2606,112679,115329.079
Pinellas FL,FL,2607,119537,122348.371
Pinellas FL,FL,2608,121828,124693.253
Hillsborough FL,FL,2701,139898,149807.649
Hillsborough FL,FL,2702,156280,167350.065
Hillsborough FL,FL,2703,147714,158177.294
Hillsborough FL,FL,2704,154649,165603.534
Hillsborough FL,FL,2705,146416,156787.351
Hillsborough FL,FL,2706,125158,134023.544
Hillsborough FL,FL,2707,178275,190903.077
Hillsborough FL,FL,2708,180836,193645.485
Manatee FL,FL,2801,136698,148940.705
Manatee FL,FL,2802,186135,202805.295
Sarasota FL,FL,2901,179181,187451.372
Sarasota FL,FL,2902,200267,209510.628
Charlotte FL,FL,3000,159978,168474
DeSoto FL,FL,3100,34862,35012
Glades FL,FL,3100,12884,13635
Hardee FL,FL,3100,27731,27469
Hendry FL,FL,3100,39140,38505
Highlands FL,FL,3100,98786,98236
Indian River FL,FL,3200,138028,144755
Okeechobee FL,FL,3200,39996,39149
St. Lucie FL,FL,3300,277789,291028
Martin FL,FL,3400,146318,153392
Palm Beach FL,FL,3501,216253,228960.833
Palm Beach FL,FL,3502,142518,150892.889
Palm Beach FL,FL,3503,124204,131502.691
Palm Beach FL,FL,3504,125432,132802.852
Palm Beach FL,FL,3505,149189,157955.902
Palm Beach FL,FL,3506,114816,121563.017
Palm Beach FL,FL,3507,106704,112974.325
Palm Beach FL,FL,3508,103727,109822.386
Palm Beach FL,FL,3509,237291,251235.105
Broward FL,FL,3601,144189,154183.609
Broward FL,FL,3602,117109,125226.531
Broward FL,FL,3603,103211,110365.177
Broward FL,FL,3604,110898,118585.009
Broward FL,FL,3605,137554,147088.698
Broward FL,FL,3606,178014,190353.224
Broward FL,FL,3607,106913,114323.785
Broward FL,FL,3608,144963,155011.26
Broward FL,FL,3609,120709,129076.069
Broward FL,FL,3610,160145,171245.616
Broward FL,FL,3611,140908,150675.184
Broward FL,FL,3612,154787,165516.221
Broward FL,FL,3613,128666,137584.617
Collier FL,FL,3701,137492,149147.945
Collier FL,FL,3702,184028,199629.055
Lee FL,FL,3800,153578,168658.704
Lee FL,FL,3901,160350,176095.685
Lee FL,FL,3902,178190,195687.497
Lee FL,FL,3903,126636,139071.114
Miami-Dade FL,FL,4001,120308,128329.015
Miami-Dade FL,FL,4002,108235,115451.1
Miami-Dade FL,FL,4003,134058,142995.737
Miami-Dade FL,FL,4004,114007,121607.923
Miami-Dade FL,FL,4005,137101,146241.616
Miami-Dade FL,FL,4006,101792,108578.541
Miami-Dade FL,FL,4007,130826,139548.257
Miami-Dade FL,FL,4008,126435,134864.506
Miami-Dade FL,FL,4009,100879,107604.671
Miami-Dade FL,FL,4010,139179,148458.158
Miami-Dade FL,FL,4011,169164,180442.278
Miami-Dade FL,FL,4012,164254,175204.925
Miami-Dade FL,FL,4013,127308,135795.71
Miami-Dade FL,FL,4014,117007,124807.935
Miami-Dade FL,FL,4015,127097,135570.642
Miami-Dade FL,FL,4016,116153,123896.999
Miami-Dade FL,FL,4017,137595,146768.551
Miami-Dade FL,FL,4018,110150,117493.775
Miami-Dade FL,FL,4019,171254,182671.619
Miami-Dade FL,FL,4020,43633,46542.041
Monroe FL,FL,4020,73090,77136
Catoosa GA,GA,100,63907,65585.081
Dade GA,GA,100,16633,16389
Walker GA,GA,100,68756,68218
Whitfield GA,GA,100,183,184.682
Catoosa GA,GA,200,35,35.919
Gordon GA,GA,200,55186,56047
Murray GA,GA,200,39628,39410
Whitfield GA,GA,200,102416,103357.318
Dawson GA,GA,300,2,2.056
Fannin GA,GA,300,23682,23753
Gilmer GA,GA,300,28292,28829
Habersham GA,GA,300,43041,43752
Hall GA,GA,300,38,40.343
Lumpkin GA,GA,300,29941,31149.991
Rabun GA,GA,300,16276,16243
Towns GA,GA,300,10471,11098
Union GA,GA,300,21356,21984
White GA,GA,300,27144,27970
Banks GA,GA,400,18395,18295
Franklin GA,GA,400,22084,22264
Hart GA,GA,400,25213,25377
Jackson GA,GA,400,60485,61870
Stephens GA,GA,400,26175,25480
Clarke GA,GA,500,116714,120938
Madison GA,GA,500,28120,28312
Oconee GA,GA,500,32808,35093
Oglethorpe GA,GA,500,22,21.666
Hall GA,GA,600,179646,190720.657
Bartow GA,GA,700,100157,101736
Douglas GA,GA,700,105,110.054
Paulding GA,GA,700,142266,148926.285
Cherokee GA,GA,800,4,4.311
Dawson GA,GA,800,22328,22954.944
Forsyth GA,GA,800,175511,204302
Lumpkin GA,GA,800,25,26.009
Pickens GA,GA,800,29431,29997
Barrow GA,GA,900,69367,73240
Walton GA,GA,900,83768,87615
Butts GA,GA,1000,23568,23282.056
Crawford GA,GA,1000,12630,12387
Henry GA,GA,1000,243,254.853
Lamar GA,GA,1000,18317,18207
Monroe GA,GA,1000,26424,27051
Pike GA,GA,1000,17869,17784
Upson GA,GA,1000,27153,26256
Fulton GA,GA,1101,155461,168251.081
DeKalb GA,GA,1102,59,61.581
Fulton GA,GA,1102,194400,210393.668
Fulton GA,GA,1103,126301,136692.03
Fulton GA,GA,1104,113352,122677.691
Fulton GA,GA,1105,82526,89315.575
Fulton GA,GA,1106,83229,90076.413
Fulton GA,GA,1107,165312,178912.542
DeKalb GA,GA,1201,116118,121197.773
DeKalb GA,GA,1202,137775,143802.195
DeKalb GA,GA,1203,104467,109037.081
DeKalb GA,GA,1204,90761,94731.49
DeKalb GA,GA,1205,132682,138486.393
DeKalb GA,GA,1206,109985,114796.475
Cobb GA,GA,1301,116319,123571.716
Cobb GA,GA,1302,114387,121519.252
Cobb GA,GA,1303,115134,122312.829
Cobb GA,GA,1304,126493,134380.084
Cobb GA,GA,1305,215745,229197.12
Paulding GA,GA,1305,52,54.434
Clayton GA,GA,1401,124925,128834.203
Clayton GA,GA,1402,134499,138707.797
Gwinnett GA,GA,1501,142726,155592.981
Gwinnett GA,GA,1502,245851,268014.868
Gwinnett GA,GA,1503,148651,162052.13
Gwinnett GA,GA,1504,132114,144024.292
DeKalb GA,GA,1505,46,48.012
Gwinnett GA,GA,1505,135979,148237.728
Newton GA,GA,1600,99948,103664.628
Rockdale GA,GA,1600,85215,87754
Butts GA,GA,1700,87,85.944
Henry GA,GA,1700,203679,213614.147
Carroll GA,GA,1800,110527,114093
Douglas GA,GA,1800,132298,138665.946
Paulding GA,GA,1800,6,6.281
Cherokee GA,GA,1900,214342,230980.689
Coweta GA,GA,2000,127317,135571
Fayette GA,GA,2000,106567,109664
Spalding GA,GA,2000,64073,63988
Chattooga GA,GA,2100,26015,24939
Floyd GA,GA,2100,96317,96063
Haralson GA,GA,2100,28780,28641
Polk GA,GA,2100,41475,41133
Elbert GA,GA,2200,20166,19438
Greene GA,GA,2200,15994,16490
Hancock GA,GA,2200,9429,8509
Lincoln GA,GA,2200,7996,7622
Morgan GA,GA,2200,17868,17956
Oglethorpe GA,GA,2200,14877,14651.334
Taliaferro GA,GA,2200,1717,1693
Warren GA,GA,2200,5834,5520
Wilkes GA,GA,2200,10593,9940
Richmond GA,GA,2300,200549,201368
Columbia GA,GA,2400,124053,139257
McDuffie GA,GA,2400,21875,21370
Burke GA,GA,2500,23316,22709
Emanuel GA,GA,2500,22598,22755
Glascock GA,GA,2500,3082,3053
Jefferson GA,GA,2500,16930,16272
Jenkins GA,GA,2500,8340,9125
Screven GA,GA,2500,14593,14085
Washington GA,GA,2500,21187,20635
Baldwin GA,GA,2600,45720,45909
Jasper GA,GA,2600,13900,13432
Johnson GA,GA,2600,9980,9701
Laurens GA,GA,2600,48434,47851
Newton GA,GA,2600,10,10.372
Putnam GA,GA,2600,21218,21192
Wilkinson GA,GA,2600,9563,9326
Bibb GA,GA,2700,155547,153905
Houston GA,GA,2800,139900,149111
Jones GA,GA,2800,28669,28787
Peach GA,GA,2800,27695,26922
Twiggs GA,GA,2800,9023,8320
Harris GA,GA,2900,32024,32876
Heard GA,GA,2900,11834,11603
Meriwether GA,GA,2900,21992,21198
Talbot GA,GA,2900,6865,6390
Troup GA,GA,2900,67044,69469
Muscogee GA,GA,3000,189885,200887
Chattahoochee GA,GA,3100,11267,11837
Crisp GA,GA,3100,23439,22934
Dooly GA,GA,3100,14918,14188
Macon GA,GA,3100,14740,13792
Marion GA,GA,3100,8742,8797
Schley GA,GA,3100,5010,5163
Sumter GA,GA,3100,32819,31232
Taylor GA,GA,3100,8906,8442
Webster GA,GA,3100,2799,2649
Bleckley GA,GA,3200,13063,12795
Dodge GA,GA,3200,21796,20976
Montgomery GA,GA,3200,9123,8991
Pulaski GA,GA,3200,12010,11483
Telfair GA,GA,3200,16500,16518
Toombs GA,GA,3200,27223,27282
Treutlen GA,GA,3200,6885,6778
Wheeler GA,GA,3200,7421,7995
Wilcox GA,GA,3200,9255,8847
Appling GA,GA,3300,18236,18540
Bulloch GA,GA,3300,70217,72087
Candler GA,GA,3300,10998,10888
Evans GA,GA,3300,11000,10898
Jeff Davis GA,GA,3300,15068,14859
Tattnall GA,GA,3300,25520,25224
Wayne GA,GA,3300,30099,29949
Chatham GA,GA,3400,134096,143326.961
Chatham GA,GA,3500,131032,140052.039
Bryan GA,GA,3600,30233,33906
Effingham GA,GA,3600,52250,55423
Liberty GA,GA,3600,63453,65198
Long GA,GA,3600,14464,17113
McIntosh GA,GA,3600,14333,14214
Camden GA,GA,3700,50513,52027
Glynn GA,GA,3700,79626,82175
Atkinson GA,GA,3800,8375,8223
Bacon GA,GA,3800,11096,11281
Brantley GA,GA,3800,18411,18417
Charlton GA,GA,3800,12171,12897
Clinch GA,GA,3800,6798,6831
Coffee GA,GA,3800,42356,42811
Pierce GA,GA,3800,18758,18991
Ware GA,GA,3800,36312,35515
Ben Hill GA,GA,3900,17634,17464
Berrien GA,GA,3900,19286,18700
Cook GA,GA,3900,17212,17214
Irwin GA,GA,3900,9538,9104
Lanier GA,GA,3900,10078,10373
Tift GA,GA,3900,40118,40704
Turner GA,GA,3900,8930,8153
Dougherty GA,GA,4000,94565,92407
Lee GA,GA,4000,28298,29191
Baker GA,GA,4100,3451,3255
Calhoun GA,GA,4100,6694,6463
Clay GA,GA,4100,3183,3102
Colquitt GA,GA,4100,45498,46102
Early GA,GA,4100,11008,10491
Mitchell GA,GA,4100,23498,22771
Quitman GA,GA,4100,2513,2315
Randolph GA,GA,4100,7719,7313
Stewart GA,GA,4100,6058,5744
Terrell GA,GA,4100,9315,9132
Worth GA,GA,4100,21679,20940
Decatur GA,GA,4200,27842,27220
Grady GA,GA,4200,25011,25359
Miller GA,GA,4200,6125,5958
Seminole GA,GA,4200,8729,8686
Thomas GA,GA,4200,44720,44959
Brooks GA,GA,4300,16243,15418
Echols GA,GA,4300,4034,4003
Lowndes GA,GA,4300,109233,113523
Kalawao HI,HI,100,90,89
Kauai HI,HI,100,67091,70475
Maui HI,HI,100,154834,163019
Hawaii HI,HI,200,185079,194190
Honolulu HI,HI,301,124187,129213.462
Honolulu HI,HI,302,115164,119825.256
Honolulu HI,HI,303,107596,111950.942
Honolulu HI,HI,304,121372,126284.525
Honolulu HI,HI,305,114531,119166.636
Honolulu HI,HI,306,141533,147261.54
Honolulu HI,HI,307,228824,238085.639
Buena Vista IA,IA,100,20260,20578
Clay IA,IA,100,16667,16515
Dickinson IA,IA,100,16667,16935
Emmet IA,IA,100,10302,9990
Lyon IA,IA,100,11581,11683
OBrien IA,IA,100,14398,14056
Osceola IA,IA,100,6462,6218
Palo Alto IA,IA,100,9421,9099
Sioux IA,IA,100,33704,34681
Cerro Gordo IA,IA,200,44151,43254
Floyd IA,IA,200,16303,16077
Franklin IA,IA,200,10680,10436
Hancock IA,IA,200,11341,11027
Kossuth IA,IA,200,15543,15222
Mitchell IA,IA,200,10776,10779
Winnebago IA,IA,200,10866,10559
Worth IA,IA,200,7598,7624
Allamakee IA,IA,300,14330,14038
Bremer IA,IA,300,24276,24721
Buchanan IA,IA,300,20958,21038
Butler IA,IA,300,14867,15006
Chickasaw IA,IA,300,12439,12264
Clayton IA,IA,300,18129,17692
Fayette IA,IA,300,20880,20343
Grundy IA,IA,300,12453,12375
Howard IA,IA,300,9566,9449
Winneshiek IA,IA,300,21056,20768
Black Hawk IA,IA,400,131090,132897
Cedar IA,IA,500,18499,18411
Clinton IA,IA,500,49116,48051
Delaware IA,IA,500,17764,17398
Dubuque IA,IA,500,93653,96370
Jackson IA,IA,500,19848,19482
Benton IA,IA,600,26076,25680
Hardin IA,IA,600,17534,17311
Iowa IA,IA,600,16355,16375
Jones IA,IA,600,20638,20454
Marshall IA,IA,600,40648,40866
Poweshiek IA,IA,600,18914,18668
Tama IA,IA,600,17767,17451
Washington IA,IA,600,21704,22070
Johnson IA,IA,700,130882,142287
Linn IA,IA,800,211226,217751
Calhoun IA,IA,900,9670,9866
Hamilton IA,IA,900,15673,15117
Humboldt IA,IA,900,9815,9640
Pocahontas IA,IA,900,7310,7138
Webster IA,IA,900,38013,36955
Wright IA,IA,900,13229,12840
Audubon IA,IA,1000,6119,5794
Carroll IA,IA,1000,20816,20562
Cherokee IA,IA,1000,12072,11836
Crawford IA,IA,1000,17096,17228
Greene IA,IA,1000,9336,9200
Guthrie IA,IA,1000,10954,10722
Ida IA,IA,1000,7089,7042
Monona IA,IA,1000,9243,8996
Plymouth IA,IA,1000,24986,24874
Sac IA,IA,1000,10350,10035
Woodbury IA,IA,1100,102172,102271
Cass IA,IA,1200,13956,13448
Fremont IA,IA,1200,7441,7022
Harrison IA,IA,1200,14928,14324
Mills IA,IA,1200,15059,14831
Montgomery IA,IA,1200,10740,10421
Page IA,IA,1200,15932,15496
Pottawattamie IA,IA,1200,93158,93128
Shelby IA,IA,1200,12167,11948
Adair IA,IA,1300,7682,7454
Adams IA,IA,1300,4029,3875
Appanoose IA,IA,1300,12887,12661
Clarke IA,IA,1300,9286,9217
Davis IA,IA,1300,8753,8781
Decatur IA,IA,1300,8457,8263
Jefferson IA,IA,1300,16843,17325
Keokuk IA,IA,1300,10511,10231
Lucas IA,IA,1300,8898,8701
Mahaska IA,IA,1300,22381,22370
Monroe IA,IA,1300,7970,8001
Ringgold IA,IA,1300,5131,5051
Taylor IA,IA,1300,6317,6143
Union IA,IA,1300,12534,12516
Van Buren IA,IA,1300,7570,7468
Wapello IA,IA,1300,35625,35212
Wayne IA,IA,1300,6403,6395
Polk IA,IA,1400,202714,216469.593
Polk IA,IA,1500,227926,243392.407
Boone IA,IA,1600,26306,26433
Dallas IA,IA,1600,66135,77400
Story IA,IA,1600,89542,94073
Jasper IA,IA,1700,36842,36872
Madison IA,IA,1700,15679,15609
Marion IA,IA,1700,33309,33365
Warren IA,IA,1700,46225,47956
Des Moines IA,IA,1800,40325,40255
Henry IA,IA,1800,20145,20217
Lee IA,IA,1800,35862,35286
Louisa IA,IA,1800,11387,11161
Muscatine IA,IA,1800,42745,42903
Scott IA,IA,1900,165224,171387
Benewah ID,ID,100,9285,9118
Bonner ID,ID,100,40877,41585
Boundary ID,ID,100,10972,10979
Kootenai ID,ID,100,138494,147326
Shoshone ID,ID,100,12765,12390
Clearwater ID,ID,200,8761,8562
Idaho ID,ID,200,16267,16215
Latah ID,ID,200,37244,38411
Lewis ID,ID,200,3821,3838
Nez Perce ID,ID,200,39265,40007
Bonneville ID,ID,300,104234,108623
Butte ID,ID,300,2891,2622
Clark ID,ID,300,982,867
Custer ID,ID,300,4368,4140
Fremont ID,ID,300,13242,12867
Jefferson ID,ID,300,26140,27021
Lemhi ID,ID,300,7936,7726
Madison ID,ID,300,37536,38038
Teton ID,ID,300,10170,10341
Adams ID,ID,400,3976,3861
Boise ID,ID,400,7028,6824
Elmore ID,ID,400,27038,26094
Gem ID,ID,400,16719,16866
Owyhee ID,ID,400,11526,11353
Payette ID,ID,400,22623,22836
Valley ID,ID,400,9862,9826
Washington ID,ID,400,10198,10021
Canyon ID,ID,500,188923,203143
Ada ID,ID,600,193280,209964.941
Ada ID,ID,700,199085,216271.059
Blaine ID,ID,800,21376,21482
Camas ID,ID,800,1117,1039
Cassia ID,ID,800,22952,23540
Gooding ID,ID,800,15464,15064
Jerome ID,ID,800,22374,22818
Lincoln ID,ID,800,5208,5316
Minidoka ID,ID,800,20069,20323
Twin Falls ID,ID,800,77230,80914
Bannock ID,ID,900,82839,83347
Bear Lake ID,ID,900,5986,5957
Bingham ID,ID,900,45607,45269
Caribou ID,ID,900,6963,6837
Franklin ID,ID,900,12786,13021
Oneida ID,ID,900,4286,4184
Power ID,ID,900,7817,7617
Carroll IL,IL,101,15387,14715
Jo Daviess IL,IL,101,22678,22254
Rock Island IL,IL,101,7127,7055.366
Whiteside IL,IL,101,58498,56876
Henry IL,IL,102,50486,49635
Mercer IL,IL,102,16434,15945
Rock Island IL,IL,102,33600,33262.283
Rock Island IL,IL,103,106819,105745.351
Fulton IL,IL,200,37069,36007
Hancock IL,IL,200,19104,18564
Henderson IL,IL,200,7331,6916
McDonough IL,IL,200,32612,31880
Warren IL,IL,200,17707,17874
Adams IL,IL,300,67103,66988
Brown IL,IL,300,6937,6832
Mason IL,IL,300,14666,13898
Pike IL,IL,300,16430,16022
Schuyler IL,IL,300,7544,7330
Calhoun IL,IL,400,5089,4956
Cass IL,IL,400,13642,13156
Greene IL,IL,400,13886,13434
Macoupin IL,IL,400,47765,46453
Morgan IL,IL,400,35547,34929
Scott IL,IL,400,5355,5204
Bond IL,IL,500,17768,17269
Effingham IL,IL,500,34242,34320
Fayette IL,IL,500,22140,21870
Montgomery IL,IL,500,30104,29359
Coles IL,IL,600,53873,53320
Cumberland IL,IL,600,11048,10833
Douglas IL,IL,600,19980,19889
Edgar IL,IL,600,18576,17841
Clark IL,IL,700,16335,16180
Clay IL,IL,700,13815,13520
Crawford IL,IL,700,19817,19393
Jasper IL,IL,700,9698,9623
Lawrence IL,IL,700,16833,16519
Richland IL,IL,700,16233,16061
Wayne IL,IL,700,16760,16543
Alexander IL,IL,800,8238,7492
Edwards IL,IL,800,6721,6617
Gallatin IL,IL,800,5589,5291
Hamilton IL,IL,800,8457,8296
Hardin IL,IL,800,4320,4129
Johnson IL,IL,800,12582,12601
Massac IL,IL,800,15429,14905
Pope IL,IL,800,4470,4276
Pulaski IL,IL,800,6161,5815
Saline IL,IL,800,24913,24612
Union IL,IL,800,17808,17447
Wabash IL,IL,800,11947,11549
White IL,IL,800,14665,14374
Franklin IL,IL,900,39561,39411
Jackson IL,IL,900,60218,59677
Perry IL,IL,900,22350,21672
Williamson IL,IL,900,66357,67008
Jefferson IL,IL,1000,38827,38534
Marion IL,IL,1000,39437,38571
Randolph IL,IL,1000,33476,32869
Washington IL,IL,1000,14716,14337
St. Clair IL,IL,1101,182535,179610.314
Clinton IL,IL,1102,37762,37857
Monroe IL,IL,1102,32957,33722
St. Clair IL,IL,1102,87521,86118.686
Madison IL,IL,1201,114625,113466.329
Jersey IL,IL,1202,22985,22571
Madison IL,IL,1202,154657,153093.671
Sangamon IL,IL,1300,113022,113898.863
Logan IL,IL,1400,30305,29746
Menard IL,IL,1400,12705,12570
Sangamon IL,IL,1400,84443,85098.137
Macon IL,IL,1500,110768,108350
Christian IL,IL,1600,34800,33892
De Witt IL,IL,1600,16561,16284
Moultrie IL,IL,1600,14846,14837
Piatt IL,IL,1600,16729,16431
Shelby IL,IL,1600,22363,22048
Peoria IL,IL,1700,112547,113044.878
Peoria IL,IL,1800,73947,74274.122
Woodford IL,IL,1800,38664,39187
Tazewell IL,IL,1900,135394,135707
McLean IL,IL,2000,169572,174061
Champaign IL,IL,2100,201081,207133
Ford IL,IL,2200,14081,13688
Iroquois IL,IL,2200,29718,28879
Livingston IL,IL,2200,38950,37903
Vermilion IL,IL,2200,81625,79728
Kankakee IL,IL,2300,113449,111375
La Salle IL,IL,2400,113924,111241
Bureau IL,IL,2500,34978,33840
Knox IL,IL,2500,52919,52069
Marshall IL,IL,2500,12640,12014
Putnam IL,IL,2500,6006,5814
Stark IL,IL,2500,5994,5813
DeKalb IL,IL,2600,105160,105462
Lee IL,IL,2600,36031,34735
Ogle IL,IL,2700,53497,52085
Stephenson IL,IL,2700,47711,46435
Winnebago IL,IL,2800,149280,145880.493
Boone IL,IL,2900,54165,53869
Winnebago IL,IL,2900,145986,142661.507
McHenry IL,IL,3001,120828,120250.001
McHenry IL,IL,3002,141503,140826.099
Kane IL,IL,3003,165089,168945.58
Kane IL,IL,3004,129503,132528.27
Kane IL,IL,3005,146149,149563.13
Kane IL,IL,3006,74528,76269.02
Kendall IL,IL,3006,114736,121350
McHenry IL,IL,3006,46429,46206.9
Grundy IL,IL,3101,50063,50425
Will IL,IL,3101,98194,99332.95
Will IL,IL,3102,133389,134936.175
Will IL,IL,3103,196394,198671.969
Will IL,IL,3104,249583,252477.906
DuPage IL,IL,3201,212834,216497.741
DuPage IL,IL,3202,117067,119082.2
DuPage IL,IL,3203,116268,118269.446
DuPage IL,IL,3204,146795,149321.94
DuPage IL,IL,3205,123449,125574.061
DuPage IL,IL,3206,200511,203962.612
Lake IL,IL,3301,104268,104523.533
Lake IL,IL,3302,134243,134571.994
Lake IL,IL,3303,231190,231756.586
Lake IL,IL,3304,124012,124315.921
Lake IL,IL,3305,109749,110017.966
Cook IL,IL,3401,126645,127907.409
Cook IL,IL,3402,230826,233126.895
Cook IL,IL,3403,248520,250997.27
Cook IL,IL,3404,222477,224694.671
Cook IL,IL,3405,235835,238185.825
Cook IL,IL,3406,117566,118737.909
Cook IL,IL,3407,178470,180249.005
Cook IL,IL,3408,192426,194344.12
Cook IL,IL,3409,152460,153979.735
Cook IL,IL,3410,173605,175335.511
Cook IL,IL,3411,173435,175163.816
Cook IL,IL,3412,109799,110893.487
Cook IL,IL,3413,169326,171013.857
Cook IL,IL,3414,167649,169320.141
Cook IL,IL,3501,167874,169547.384
Cook IL,IL,3502,158484,160063.783
Cook IL,IL,3503,143302,144730.448
Cook IL,IL,3504,141297,142705.462
Cook IL,IL,3505,128457,129737.471
Cook IL,IL,3506,156288,157845.893
Cook IL,IL,3507,98514,99495.997
Cook IL,IL,3508,130803,132106.856
Cook IL,IL,3509,219299,221484.993
Cook IL,IL,3510,186038,187892.444
Cook IL,IL,3511,115057,116203.899
Cook IL,IL,3512,164118,165753.943
Cook IL,IL,3513,204638,206677.85
Cook IL,IL,3514,104200,105238.675
Cook IL,IL,3515,149565,151055.878
Cook IL,IL,3516,141395,142804.438
Cook IL,IL,3517,102738,103762.102
Cook IL,IL,3518,88066,88943.85
Cook IL,IL,3519,95503,96454.983
Lake IN,IN,100,80294,79358.811
Lake IN,IN,201,115525,114179.473
Lake IN,IN,202,170048,168067.441
Lake IN,IN,203,130138,128622.275
Porter IN,IN,300,164343,167076
La Porte IN,IN,400,111467,111444
St. Joseph IN,IN,500,98946,99200.657
St. Joseph IN,IN,600,167985,168417.343
Elkhart IN,IN,700,197559,201971
De Kalb IN,IN,800,42223,42383
Lagrange IN,IN,800,37128,38436
Noble IN,IN,800,47536,47618
Steuben IN,IN,800,34185,34308
Allen IN,IN,900,196650,202510.278
Allen IN,IN,1000,158679,163407.722
Adams IN,IN,1100,34374,34777.847
Huntington IN,IN,1100,37124,36706
Wells IN,IN,1100,27636,27862
Whitley IN,IN,1100,33292,33403
Kosciusko IN,IN,1200,77358,78564
Marshall IN,IN,1200,47051,47107
Fulton IN,IN,1300,20836,20500
Jasper IN,IN,1300,33478,33475
Newton IN,IN,1300,14244,14156
Pulaski IN,IN,1300,13402,12967
Starke IN,IN,1300,23363,23074
Benton IN,IN,1400,8854,8700
Carroll IN,IN,1400,20155,19923
Fountain IN,IN,1400,17240,16658
Montgomery IN,IN,1400,38124,38146
Warren IN,IN,1400,8508,8352
White IN,IN,1400,24643,24453
Cass IN,IN,1500,38966,38438
Miami IN,IN,1500,36903,35954
Wabash IN,IN,1500,32888,32252
Adams IN,IN,1600,13,13.153
Blackford IN,IN,1600,12766,12401
Grant IN,IN,1600,70061,68569
Jay IN,IN,1600,21253,21179
Howard IN,IN,1700,82752,82982
Tipton IN,IN,1700,15936,15415
Clinton IN,IN,1800,33224,32776
Tippecanoe IN,IN,1800,172780,183074
Boone IN,IN,1901,56640,61915
Hamilton IN,IN,1901,109046,120187.74
Hamilton IN,IN,1902,165523,182435.26
Madison IN,IN,2001,124099,122621.721
Hancock IN,IN,2002,70002,71978
Madison IN,IN,2002,7537,7447.279
Shelby IN,IN,2002,44436,44579
Delaware IN,IN,2100,117671,117074
Henry IN,IN,2200,49462,48995
Randolph IN,IN,2200,26171,25384
Wayne IN,IN,2200,68917,67671
Marion IN,IN,2301,118447,122491.851
Marion IN,IN,2302,100739,104179.14
Marion IN,IN,2303,109205,112934.245
Marion IN,IN,2304,136828,141500.544
Marion IN,IN,2305,142787,147663.038
Marion IN,IN,2306,154027,159286.874
Marion IN,IN,2307,141360,146187.308
Johnson IN,IN,2400,139654,147538
Hendricks IN,IN,2500,145448,156056
Morgan IN,IN,2500,68894,69693
Greene IN,IN,2600,33165,32726
Owen IN,IN,2600,21575,20969
Parke IN,IN,2600,17339,17233
Putnam IN,IN,2600,37963,37618
Clay IN,IN,2700,26890,26562
Vermillion IN,IN,2700,16212,15693
Vigo IN,IN,2700,107848,108175
Daviess IN,IN,2800,31648,32729
Knox IN,IN,2800,38440,37938
Martin IN,IN,2800,10334,10203
Sullivan IN,IN,2800,21475,21050
Monroe IN,IN,2900,137973,143337.961
Bartholomew IN,IN,3000,76794,80217
Brown IN,IN,3000,15242,14962
Jackson IN,IN,3000,42376,43705
Decatur IN,IN,3100,25740,26524
Fayette IN,IN,3100,24277,23468
Franklin IN,IN,3100,23087,22934
Jennings IN,IN,3100,28525,28000
Rush IN,IN,3100,17392,16892
Union IN,IN,3100,7516,7246
Dearborn IN,IN,3200,50047,49506
Jefferson IN,IN,3200,32428,32494
Ohio IN,IN,3200,6128,6035
Ripley IN,IN,3200,28818,28497
Switzerland IN,IN,3200,10613,10452
Clark IN,IN,3300,110232,114262
Scott IN,IN,3300,24181,23712
Floyd IN,IN,3400,74578,76179
Harrison IN,IN,3400,39364,39299
Crawford IN,IN,3500,10713,10655
Lawrence IN,IN,3500,46134,45704
Monroe IN,IN,3500,1,1.039
Orange IN,IN,3500,19840,19626
Washington IN,IN,3500,28262,27878
Dubois IN,IN,3600,41889,42345
Gibson IN,IN,3600,33503,33759
Perry IN,IN,3600,19338,19454
Pike IN,IN,3600,12845,12624
Spencer IN,IN,3600,20952,20801
